"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",15595,17357,20004,21303,22277
"B","Pertambangan dan Penggalian/Mining and Quarrying",48255,46074,48427,61345,69119
"C","Industri Pengolahan/Manufacturing",2589,3007,3302,3619,3972
"D","Pengadaan Listrik dan Gas/Electricity and Gas",32,38,48,59,69
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",72,80,86,91,100
"F","Konstruksi/Construction",13174,16786,20091,23054,24756
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",9766,11297,13553,15633,17130
"H","Transportasi dan Pergudangan/Transportation and Storage",5809,6771,7937,9095,10004
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",876,1064,1233,1380,1518
"J","Informasi dan Komunikasi/Information and Communication",4360,5005,5743,6352,7046
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",2090,2347,2508,2741,2915
"L","Real Estat/Real Estate Activities",3160,3548,4082,4643,4978
"M,N","Jasa Perusahaan/Business Activities",1435,1618,1772,1996,2155
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",10096,12150,14523,16399,17191
"P","Jasa Pendidikan/Education",2424,2644,2957,3283,3498
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1849,2118,2445,2774,2948
"R,S,T,U","Jasa lainnya/Other Services Activities",1275,1424,1595,1783,1940
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",122857,133330,150307,175552,191615
