"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",16862,18753,20559,21828,23292
"B","Pertambangan dan Penggalian/Mining and Quarrying",33386,34434,31305,30632,33118
"C","Industri Pengolahan/Manufacturing",14971,16564,18600,20734,22959
"D","Pengadaan Listrik dan Gas/Electricity and Gas",68,89,139,176,207
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",405,479,534,582,645
"F","Konstruksi/Construction",7978,9192,10627,11593,12777
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",9309,10741,12400,13763,15446
"H","Transportasi dan Pergudangan/Transportation and Storage",6501,7492,8547,9387,10339
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",2047,2370,2649,2870,3144
"J","Informasi dan Komunikasi/Information and Communication",3532,4076,4505,4990,5535
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",3779,4272,4719,5205,5739
"L","Real Estat/Real Estate Activities",2403,2747,3054,3299,3525
"M,N","Jasa Perusahaan/Business Activities",641,756,852,944,1053
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",6490,7278,8621,9034,9486
"P","Jasa Pendidikan/Education",4493,5150,5849,6623,7310
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1858,2142,2534,2857,3079
"R,S,T,U","Jasa lainnya/Other Services Activities",1135,1347,1564,1761,1941
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",115858,127882,137056,146280,159594
