"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",67775,75444,80726,88747,93767
"B","Pertambangan dan Penggalian/Mining and Quarrying",13069,14515,14360,15329,17325
"C","Industri Pengolahan/Manufacturing",36082,41612,48181,52222,58322
"D","Pengadaan Listrik dan Gas/Electricity and Gas",126,158,202,305,485
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",198,235,268,288,326
"F","Konstruksi/Construction",17848,20561,21489,24591,28636
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",23164,25435,27474,31329,35214
"H","Transportasi dan Pergudangan/Transportation and Storage",9170,10738,13027,14665,16182
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",2852,3354,3820,4310,4748
"J","Informasi dan Komunikasi/Information and Communication",7245,7981,8978,10474,12020
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",4832,5161,5563,6201,6759
"L","Real Estat/Real Estate Activities",5589,6540,7260,8217,9182
"M,N","Jasa Perusahaan/Business Activities",291,348,394,434,482
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",6843,8181,9344,9877,10760
"P","Jasa Pendidikan/Education",5798,6551,7132,8004,8564
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1905,2126,2466,2713,2912
"R,S,T,U","Jasa lainnya/Other Services Activities",1616,1854,2199,2433,2768
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",204403,230794,252883,280141,308451
