"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",115445,133550,144219,156826,166772
"B","Pertambangan dan Penggalian/Mining and Quarrying",256395,268820,201797,191971,182968
"C","Industri Pengolahan/Manufacturing",124880,141875,155686,168242,178589
"D","Pengadaan Listrik dan Gas/Electricity and Gas",180,230,311,396,444
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",62,66,72,76,81
"F","Konstruksi/Construction",38268,45438,51673,57000,61697
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",40289,52869,57953,63957,69034
"H","Transportasi dan Pergudangan/Transportation and Storage",3761,4458,5185,5640,6039
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",2356,3163,3342,3610,3816
"J","Informasi dan Komunikasi/Information and Communication",3149,3539,4077,4371,4753
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",4926,5430,5665,6141,6254
"L","Real Estat/Real Estate Activities",4057,4659,5405,5791,6085
"M,N","Jasa Perusahaan/Business Activities",23,28,32,35,38
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8777,9247,10077,10393,10665
"P","Jasa Pendidikan/Education",2272,2760,3267,3459,3648
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",788,955,1176,1224,1315
"R,S,T,U","Jasa lainnya/Other Services Activities",1871,2308,2824,3160,3480
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",607498,679396,652762,682291,705679
