"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",15792,17800,19769,21828,23704
"B","Pertambangan dan Penggalian/Mining and Quarrying",3512,3838,4333,4847,5329
"C","Industri Pengolahan/Manufacturing",7268,7920,8625,9052,10311
"D","Pengadaan Listrik dan Gas/Electricity and Gas",53,61,77,88,105
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",102,112,121,131,135
"F","Konstruksi/Construction",8449,9267,10544,11451,12647
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",8852,9915,11242,12174,13367
"H","Transportasi dan Pergudangan/Transportation and Storage",6149,7935,9682,11084,11975
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1459,1681,1960,2260,2446
"J","Informasi dan Komunikasi/Information and Communication",2755,3045,3482,3887,4322
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",2773,2990,3234,3981,4421
"L","Real Estat/Real Estate Activities",2489,2871,3200,3485,3799
"M,N","Jasa Perusahaan/Business Activities",58,68,78,88,102
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5690,6799,7665,8301,8925
"P","Jasa Pendidikan/Education",1983,2309,2611,2829,3021
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",2589,2857,3153,3514,3835
"R,S,T,U","Jasa lainnya/Other Services Activities",1126,1200,1369,1543,1720
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",71097,80668,91146,100543,110164
