"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",27435,31036,33644,35540,38818
"B","Pertambangan dan Penggalian/Mining and Quarrying",10492,8646,11027,14190,17229
"C","Industri Pengolahan/Manufacturing",4528,5297,10456,14269,16571
"D","Pengadaan Listrik dan Gas/Electricity and Gas",28,33,32,36,44
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",116,133,151,162,177
"F","Konstruksi/Construction",8880,12273,15341,15501,16785
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",7571,8788,9987,11009,11999
"H","Transportasi dan Pergudangan/Transportation and Storage",3351,3845,4345,4664,5207
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",447,523,593,637,719
"J","Informasi dan Komunikasi/Information and Communication",2732,3135,3469,3824,4291
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",1959,2133,2351,2840,3161
"L","Real Estat/Real Estate Activities",1577,1870,2099,2234,2456
"M,N","Jasa Perusahaan/Business Activities",220,253,287,311,335
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5245,6123,6923,7518,8291
"P","Jasa Pendidikan/Education",3404,3964,4369,4751,5165
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1148,1379,1533,1628,1819
"R,S,T,U","Jasa lainnya/Other Services Activities",709,817,969,1091,1177
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",79842,90246,107573,120204,134243
