"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",33312,37968,43793,51149,56199
"B","Pertambangan dan Penggalian/Mining and Quarrying",34000,35448,29477,28494,33742
"C","Industri Pengolahan/Manufacturing",14489,15846,17134,17986,19639
"D","Pengadaan Listrik dan Gas/Electricity and Gas",53,67,82,104,121
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",184,202,223,247,265
"F","Konstruksi/Construction",8819,10279,11216,12066,13308
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",12046,14167,17250,20871,23165
"H","Transportasi dan Pergudangan/Transportation and Storage",3787,4270,4913,5748,6231
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1320,1596,1779,2033,2294
"J","Informasi dan Komunikasi/Information and Communication",3992,4443,5386,6451,7394
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",3256,3541,3764,4342,4676
"L","Real Estat/Real Estate Activities",1939,2100,2418,2730,2969
"M,N","Jasa Perusahaan/Business Activities",1422,1579,1805,2073,2297
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4520,6019,7563,8085,8563
"P","Jasa Pendidikan/Education",4428,4523,5111,5728,6309
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1223,1471,1667,1889,2092
"R,S,T,U","Jasa lainnya/Other Services Activities",1184,1296,1484,1659,1835
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",129976,144814,155066,171654,191099
