"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",115190,121419,125488,134916,146366
"B","Pertambangan dan Penggalian/Mining and Quarrying",6581,6899,7663,8474,8870
"C","Industri Pengolahan/Manufacturing",93241,104239,115720,125514,138824
"D","Pengadaan Listrik dan Gas/Electricity and Gas",598,643,640,669,788
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",442,501,572,654,767
"F","Konstruksi/Construction",60233,69461,77802,84232,92590
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",78325,89597,99822,114009,122585
"H","Transportasi dan Pergudangan/Transportation and Storage",22990,25898,28512,31833,34277
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",10599,12283,13786,14934,16330
"J","Informasi dan Komunikasi/Information and Communication",9594,10287,11124,12195,13583
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",15738,17058,19120,20730,21729
"L","Real Estat/Real Estate Activities",20079,22786,25713,29716,33387
"M,N","Jasa Perusahaan/Business Activities",4224,4836,5452,6287,7090
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",16428,18832,21235,22950,24024
"P","Jasa Pendidikan/Education",8849,9930,10724,11799,12443
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",4020,4594,5329,5959,6454
"R,S,T,U","Jasa lainnya/Other Services Activities",2333,2690,3022,3524,3963
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",469464,521955,571722,628394,684069
