"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",18096,20198,21076,23585,25877
"B","Pertambangan dan Penggalian/Mining and Quarrying",15582,15688,18319,18795,22227
"C","Industri Pengolahan/Manufacturing",4182,4692,5223,5925,6592
"D","Pengadaan Listrik dan Gas/Electricity and Gas",25,29,31,37,45
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",139,163,173,191,195
"F","Konstruksi/Construction",8329,9686,11691,13596,14346
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",8076,9265,10515,12013,13482
"H","Transportasi dan Pergudangan/Transportation and Storage",3161,3483,3903,4363,4850
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",404,455,516,585,641
"J","Informasi dan Komunikasi/Information and Communication",1451,1510,1602,1793,1984
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",1601,1818,2037,2420,2630
"L","Real Estat/Real Estate Activities",1194,1293,1404,1501,1602
"M,N","Jasa Perusahaan/Business Activities",137,155,181,201,219
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4036,4748,4988,5206,5532
"P","Jasa Pendidikan/Education",3020,3585,3989,4557,4875
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",663,761,844,915,972
"R,S,T,U","Jasa lainnya/Other Services Activities",945,1092,1221,1329,1396
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",71041,78622,87714,97012,107465
