"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",22670,24944,28122,31110,33134
"B","Pertambangan dan Penggalian/Mining and Quarrying",3405,3729,3864,4083,4146
"C","Industri Pengolahan/Manufacturing",140949,148764,160651,168710,179960
"D","Pengadaan Listrik dan Gas/Electricity and Gas",5438,11001,12938,12024,11971
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",307,332,366,400,449
"F","Konstruksi/Construction",34612,41875,47758,52921,58783
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",48784,53729,59276,63198,69588
"H","Transportasi dan Pergudangan/Transportation and Storage",28724,39399,48592,55418,61323
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",8584,9996,11227,12326,13556
"J","Informasi dan Komunikasi/Information and Communication",13573,15600,16827,18299,20563
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",10883,11928,13387,15740,17027
"L","Real Estat/Real Estate Activities",27018,29790,33903,37178,41872
"M,N","Jasa Perusahaan/Business Activities",3671,4243,4866,5424,6090
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",7206,8279,9467,10563,11449
"P","Jasa Pendidikan/Education",11956,13608,15203,16788,18785
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",4393,4912,5423,5990,6672
"R,S,T,U","Jasa lainnya/Other Services Activities",5664,6612,7430,8100,9063
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",377836,428740,479300,518271,564429
