"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",17540,19468,22480,24691,27230
"B","Pertambangan dan Penggalian/Mining and Quarrying",9836,9231,23823,26232,24109
"C","Industri Pengolahan/Manufacturing",3601,3818,4064,4505,4910
"D","Pengadaan Listrik dan Gas/Electricity and Gas",37,53,60,74,91
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",72,83,90,98,106
"F","Konstruksi/Construction",6775,7704,8849,9893,10988
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",10035,11573,12965,14534,16381
"H","Transportasi dan Pergudangan/Transportation and Storage",5805,6799,7645,8202,8918
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1588,1945,2207,2517,2827
"J","Informasi dan Komunikasi/Information and Communication",1558,1732,1861,2045,2303
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",2478,2807,3181,3709,4257
"L","Real Estat/Real Estate Activities",2473,2875,3198,3506,3834
"M,N","Jasa Perusahaan/Business Activities",133,157,173,193,211
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4922,5900,6623,6992,7438
"P","Jasa Pendidikan/Education",3710,4065,4609,5152,5681
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1465,1641,1836,1997,2184
"R,S,T,U","Jasa lainnya/Other Services Activities",1591,1770,2001,2188,2460
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",73619,81621,105665,116528,123927
