"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",8594,10121,10599,11606,12635
"B","Pertambangan dan Penggalian/Mining and Quarrying",17803,19001,17403,16458,21195
"C","Industri Pengolahan/Manufacturing",4882,5626,6158,6730,7728
"D","Pengadaan Listrik dan Gas/Electricity and Gas",18,20,26,33,41
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",33,36,38,41,49
"F","Konstruksi/Construction",6018,6895,7365,8509,9641
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",5117,5889,6647,7659,8793
"H","Transportasi dan Pergudangan/Transportation and Storage",2838,3409,4020,4540,5411
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",682,789,899,1022,1203
"J","Informasi dan Komunikasi/Information and Communication",1057,1206,1378,1525,1753
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",588,653,734,818,884
"L","Real Estat/Real Estate Activities",434,487,533,557,609
"M,N","Jasa Perusahaan/Business Activities",150,172,176,175,191
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",2671,2888,3288,3684,4044
"P","Jasa Pendidikan/Education",1097,1258,1493,1719,1922
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",389,457,602,725,796
"R,S,T,U","Jasa lainnya/Other Services Activities",234,277,363,446,511
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",52605,59184,61722,66247,77406
