"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",18273,20456,22752,24317,26184
"B","Pertambangan dan Penggalian/Mining and Quarrying",894,986,1073,1167,1186
"C","Industri Pengolahan/Manufacturing",759,844,941,1034,1147
"D","Pengadaan Listrik dan Gas/Electricity and Gas",24,34,44,59,66
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",42,46,47,49,50
"F","Konstruksi/Construction",6345,7096,7845,8995,9787
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",6570,7297,8272,9322,10072
"H","Transportasi dan Pergudangan/Transportation and Storage",3195,3567,3997,4528,4943
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",368,422,487,586,676
"J","Informasi dan Komunikasi/Information and Communication",4660,5134,5477,5879,6195
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",2389,2699,2992,3357,3726
"L","Real Estat/Real Estate Activities",1705,1861,2054,2209,2348
"M,N","Jasa Perusahaan/Business Activities",188,211,236,257,279
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",7592,8393,9375,10665,11697
"P","Jasa Pendidikan/Education",5680,6544,7303,7983,8917
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1280,1415,1585,1768,1941
"R,S,T,U","Jasa lainnya/Other Services Activities",1361,1497,1640,1771,1945
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",61325,68500,76121,83948,91160
