"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",9270,10837,12060,13126,13146
"B","Pertambangan dan Penggalian/Mining and Quarrying",7098,7623,7735,7743,8179
"C","Industri Pengolahan/Manufacturing",12088,12877,12888,13089,14276
"D","Pengadaan Listrik dan Gas/Electricity and Gas",27,43,51,67,79
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",9,10,12,13,15
"F","Konstruksi/Construction",4139,4712,5264,5754,6381
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",6672,7614,8634,9642,10891
"H","Transportasi dan Pergudangan/Transportation and Storage",1865,2126,2462,2642,2900
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1152,1321,1460,1610,1736
"J","Informasi dan Komunikasi/Information and Communication",770,849,942,1034,1135
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",902,999,1095,1198,1281
"L","Real Estat/Real Estate Activities",1603,1823,1965,2106,2284
"M,N","Jasa Perusahaan/Business Activities",134,154,170,176,197
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",2618,3026,3472,3782,4116
"P","Jasa Pendidikan/Education",1172,1363,1640,1860,1962
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",553,626,711,760,846
"R,S,T,U","Jasa lainnya/Other Services Activities",316,372,427,493,549
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",50388,56374,60987,65095,69973
