"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",36256,41224,44425,47195,50542
"B","Pertambangan dan Penggalian/Mining and Quarrying",6757,8049,8682,8886,9133
"C","Industri Pengolahan/Manufacturing",16186,17424,18322,19792,20835
"D","Pengadaan Listrik dan Gas/Electricity and Gas",92,123,175,207,240
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",130,140,161,180,197
"F","Konstruksi/Construction",12884,14997,16877,18210,20009
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",21697,23715,26284,29203,32291
"H","Transportasi dan Pergudangan/Transportation and Storage",16493,19406,22012,24462,27131
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1571,1861,2200,2566,2907
"J","Informasi dan Komunikasi/Information and Communication",7731,8462,8725,9796,11331
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",4633,5119,5577,6218,6628
"L","Real Estat/Real Estate Activities",2837,3244,3603,3936,4219
"M,N","Jasa Perusahaan/Business Activities",627,692,772,844,923
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",9245,9709,10249,11432,12544
"P","Jasa Pendidikan/Education",5418,5972,6602,7540,8855
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1969,2110,2262,2503,2857
"R,S,T,U","Jasa lainnya/Other Services Activities",2373,2697,3024,3474,3945
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",146900,164944,179952,196443,214585
