"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",18569,21181,23016,24548,26121
"B","Pertambangan dan Penggalian/Mining and Quarrying",15410,11830,10855,12165,14433
"C","Industri Pengolahan/Manufacturing",11216,14308,16131,18363,21038
"D","Pengadaan Listrik dan Gas/Electricity and Gas",32,42,73,82,98
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",66,85,97,106,115
"F","Konstruksi/Construction",6475,7717,9248,10993,12344
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",8230,10164,11721,13282,15419
"H","Transportasi dan Pergudangan/Transportation and Storage",4867,5473,6638,7583,8854
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1425,1580,1879,2195,2408
"J","Informasi dan Komunikasi/Information and Communication",795,926,1016,1097,1208
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",2665,2989,3248,3617,4134
"L","Real Estat/Real Estate Activities",1581,1807,2125,2385,2679
"M,N","Jasa Perusahaan/Business Activities",30,34,38,43,48
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4894,5317,6364,6950,7820
"P","Jasa Pendidikan/Education",3611,3963,4708,5387,5777
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1301,1587,1873,2158,2386
"R,S,T,U","Jasa lainnya/Other Services Activities",790,887,1036,1187,1293
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",81957,89890,100064,112140,126176
