"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",57367,68465,78782,88328,95895
"B","Pertambangan dan Penggalian/Mining and Quarrying",17883,21182,21521,21231,22475
"C","Industri Pengolahan/Manufacturing",35487,41652,47250,53017,57449
"D","Pengadaan Listrik dan Gas/Electricity and Gas",177,205,193,220,269
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",355,355,370,394,431
"F","Konstruksi/Construction",31516,36015,42181,47501,53386
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",33633,37624,43789,50837,58381
"H","Transportasi dan Pergudangan/Transportation and Storage",10426,11828,14246,16170,17514
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",3564,4108,4549,4991,5696
"J","Informasi dan Komunikasi/Information and Communication",13785,14594,15715,17574,19933
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",9597,10824,12257,14363,15797
"L","Real Estat/Real Estate Activities",9904,11523,13586,15094,16151
"M,N","Jasa Perusahaan/Business Activities",1148,1297,1484,1653,1845
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",12240,13632,16286,16842,18195
"P","Jasa Pendidikan/Education",13886,15498,17301,19131,21756
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",4682,5509,6516,7330,8189
"R,S,T,U","Jasa lainnya/Other Services Activities",3184,3722,4366,4956,5568
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",258836,298034,340390,379632,418932
