"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",5817,6450,7088,7678,7941
"B","Pertambangan dan Penggalian/Mining and Quarrying",26036,28436,31400,33098,33210
"C","Industri Pengolahan/Manufacturing",63642,69123,74966,80842,84435
"D","Pengadaan Listrik dan Gas/Electricity and Gas",1918,2053,2219,2468,2690
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",198,211,233,253,284
"F","Konstruksi/Construction",29380,33227,36456,38848,41409
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",11048,13198,15424,18067,20233
"H","Transportasi dan Pergudangan/Transportation and Storage",4609,5375,6261,7052,7507
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",3086,3481,3951,4358,5061
"J","Informasi dan Komunikasi/Information and Communication",2870,3255,3604,3969,4576
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",4367,4839,5302,5802,6270
"L","Real Estat/Real Estate Activities",2367,2640,2864,3171,3519
"M,N","Jasa Perusahaan/Business Activities",8,8,9,10,12
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",3722,4038,4628,5158,5974
"P","Jasa Pendidikan/Education",2118,2286,2569,2931,3428
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1391,1519,1737,1882,2119
"R,S,T,U","Jasa lainnya/Other Services Activities",683,741,859,981,1075
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",163262,180880,199570,216571,229743
