"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",29349,36948,38979,41843,47146
"B","Pertambangan dan Penggalian/Mining and Quarrying",286638,264883,227448,219755,274362
"C","Industri Pengolahan/Manufacturing",93315,101933,103998,104970,112989
"D","Pengadaan Listrik dan Gas/Electricity and Gas",107,128,205,233,280
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",185,198,209,237,275
"F","Konstruksi/Construction",34864,39538,41872,42320,47802
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",22292,24152,25845,28156,31376
"H","Transportasi dan Pergudangan/Transportation and Storage",13392,15759,17452,18891,21437
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",3423,3827,4362,4857,5490
"J","Informasi dan Komunikasi/Information and Communication",5186,5662,6075,6629,7440
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",7410,7907,8386,8762,9052
"L","Real Estat/Real Estate Activities",3868,4422,4804,4870,5218
"M,N","Jasa Perusahaan/Business Activities",959,1089,1086,1116,1215
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8859,10230,11609,11809,12052
"P","Jasa Pendidikan/Education",5294,6245,7288,8236,9182
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",2028,2320,2781,3192,3506
"R,S,T,U","Jasa lainnya/Other Services Activities",1962,2274,2705,3208,3680
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",519132,527515,505105,509085,592503
