"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",32254,34377,37599,40245,43404
"B","Pertambangan dan Penggalian/Mining and Quarrying",14746,13578,7496,6397,6798
"C","Industri Pengolahan/Manufacturing",9759,9481,7718,7357,7533
"D","Pengadaan Listrik dan Gas/Electricity and Gas",122,135,148,168,193
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",36,39,45,56,63
"F","Konstruksi/Construction",10396,11483,12328,14095,13768
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",17514,18970,20335,22412,23841
"H","Transportasi dan Pergudangan/Transportation and Storage",9346,9848,10180,9747,10190
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",1291,1456,1633,1874,2224
"J","Informasi dan Komunikasi/Information and Communication",3921,3973,4102,4222,4354
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",2107,2239,2397,2702,2934
"L","Real Estat/Real Estate Activities",3856,4393,4902,5331,5973
"M,N","Jasa Perusahaan/Business Activities",665,729,764,837,904
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8844,10124,11633,13194,14628
"P","Jasa Pendidikan/Education",2280,2550,2899,3329,3787
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",2785,2985,3243,3513,3855
"R,S,T,U","Jasa lainnya/Other Services Activities",1410,1538,1670,1825,2034
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",121331,127897,129093,137303,146483
