"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",52146,54406,56842,59178,60862
"B","Pertambangan dan Penggalian/Mining and Quarrying",70030,73320,72349,69369,73245
"C","Industri Pengolahan/Manufacturing",48087,53157,60905,67029,74900
"D","Pengadaan Listrik dan Gas/Electricity and Gas",190,237,301,426,493
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",259,309,361,402,445
"F","Konstruksi/Construction",35536,41065,41747,46361,50683
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",25211,27802,35088,41951,48532
"H","Transportasi dan Pergudangan/Transportation and Storage",4952,5700,6904,7812,8855
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",3312,3854,4687,5528,6263
"J","Informasi dan Komunikasi/Information and Communication",6710,7412,8309,9415,10628
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",7254,7853,8500,9424,10082
"L","Real Estat/Real Estate Activities",6762,7953,9335,10580,11597
"M,N","Jasa Perusahaan/Business Activities",291,330,367,411,460
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",9054,10854,12547,12600,12091
"P","Jasa Pendidikan/Education",6860,8086,8959,9279,9463
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",1617,1819,2056,2168,2366
"R,S,T,U","Jasa lainnya/Other Services Activities",2077,2265,2509,2614,2795
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",280348,306422,331766,354547,383759
