"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",9449,9769,10794,11456,11933
"B","Pertambangan dan Penggalian/Mining and Quarrying",495,538,573,593,616
"C","Industri Pengolahan/Manufacturing",11564,12615,13303,14548,15637
"D","Pengadaan Listrik dan Gas/Electricity and Gas",86,102,118,142,174
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",90,103,110,115,121
"F","Konstruksi/Construction",8061,8723,9500,10287,11304
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",6938,7681,8343,9332,10242
"H","Transportasi dan Pergudangan/Transportation and Storage",4783,5313,5764,6251,6784
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",8284,9324,10383,11255,12304
"J","Informasi dan Komunikasi/Information and Communication",7572,7898,8244,8957,9790
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",3171,3603,4022,4334,4641
"L","Real Estat/Real Estate Activities",5815,6497,7117,7808,8383
"M,N","Jasa Perusahaan/Business Activities",855,956,1048,1115,1208
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",6703,7492,8379,9217,10213
"P","Jasa Pendidikan/Education",6816,7601,8599,9013,9711
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",2095,2276,2554,2760,3004
"R,S,T,U","Jasa lainnya/Other Services Activities",2147,2352,2589,2825,3109
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",84925,92842,101441,110009,119173
