"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",131451,140435,157202,164597,167247
"B","Pertambangan dan Penggalian/Mining and Quarrying",16070,19654,23228,27480,30023
"C","Industri Pengolahan/Manufacturing",292261,329025,354642,381463,414989
"D","Pengadaan Listrik dan Gas/Electricity and Gas",768,843,907,989,1128
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",567,601,633,661,711
"F","Konstruksi/Construction",83050,93450,103406,111885,122937
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",115984,124943,135034,146806,161417
"H","Transportasi dan Pergudangan/Transportation and Storage",23658,27668,31784,33387,38028
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",24488,27788,30968,34778,38019
"J","Informasi dan Komunikasi/Information and Communication",25807,28403,30511,33075,39126
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",23426,25535,28518,32044,35219
"L","Real Estat/Real Estate Activities",13319,15037,16749,18172,19837
"M,N","Jasa Perusahaan/Business Activities",2701,3018,3448,3957,4465
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",24638,26406,28926,31233,33086
"P","Jasa Pendidikan/Education",33526,38446,41989,46623,52022
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",6489,7538,8404,9313,10360
"R,S,T,U","Jasa lainnya/Other Services Activities",11813,13681,14637,16659,18437
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",830016,922471,1010987,1093121,1187049
