"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",6963,7909,8277,8845,9492
"B","Pertambangan dan Penggalian/Mining and Quarrying",1028,1269,837,754,913
"C","Industri Pengolahan/Manufacturing",1465,1644,1822,1999,2125
"D","Pengadaan Listrik dan Gas/Electricity and Gas",15,21,28,35,38
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",127,140,147,159,170
"F","Konstruksi/Construction",2017,2352,2610,2810,3009
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",3616,3993,4479,4883,5422
"H","Transportasi dan Pergudangan/Transportation and Storage",1442,1673,1865,1985,2080
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",509,565,630,644,684
"J","Informasi dan Komunikasi/Information and Communication",812,905,1039,1144,1224
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",990,1111,1240,1386,1500
"L","Real Estat/Real Estate Activities",95,107,114,118,123
"M,N","Jasa Perusahaan/Business Activities",289,326,355,371,397
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5881,6664,7601,8313,8873
"P","Jasa Pendidikan/Education",1466,1752,1957,2160,2302
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",630,683,753,816,862
"R,S,T,U","Jasa lainnya/Other Services Activities",491,543,591,632,666
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",27834,31656,34346,37054,39879
