"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",1628,1719,1864,1981,2061
"B","Pertambangan dan Penggalian/Mining and Quarrying",4288,4541,5043,5181,5746
"C","Industri Pengolahan/Manufacturing",209499,239229,274514,295095,323932
"D","Pengadaan Listrik dan Gas/Electricity and Gas",5078,5687,6199,6346,7449
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",653,703,757,798,838
"F","Konstruksi/Construction",210870,235090,261158,280432,308837
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",261040,304598,330140,359524,408987
"H","Transportasi dan Pergudangan/Transportation and Storage",44138,54864,66172,76599,85669
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",79798,91226,101861,109235,117178
"J","Informasi dan Komunikasi/Information and Communication",115909,128657,141791,157158,181831
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",162991,177839,205465,227084,248213
"L","Real Estat/Real Estate Activities",98684,111672,125053,134358,147629
"M,N","Jasa Perusahaan/Business Activities",105904,122924,141773,159380,183377
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",89312,101059,114110,123169,125292
"P","Jasa Pendidikan/Education",79619,92766,109808,123706,131359
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",25065,28738,32676,36715,40465
"R,S,T,U","Jasa lainnya/Other Services Activities",52399,61004,70705,79871,91509
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",1546876,1762316,1989089,2176633,2410373
