"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",8272,9512,10543,11799,13130
"B","Pertambangan dan Penggalian/Mining and Quarrying",305,331,376,381,400
"C","Industri Pengolahan/Manufacturing",888,1052,1191,1334,1413
"D","Pengadaan Listrik dan Gas/Electricity and Gas",11,12,10,13,16
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",11,13,14,17,20
"F","Konstruksi/Construction",2608,2971,3526,3820,3979
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",2271,2625,2998,3484,3943
"H","Transportasi dan Pergudangan/Transportation and Storage",1328,1535,1791,1974,2093
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",484,540,640,721,816
"J","Informasi dan Komunikasi/Information and Communication",570,631,722,828,922
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",847,931,1076,1314,1493
"L","Real Estat/Real Estate Activities",413,464,542,618,662
"M,N","Jasa Perusahaan/Business Activities",22,24,28,31,33
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",2036,2214,2359,2423,2427
"P","Jasa Pendidikan/Education",908,1052,1187,1289,1443
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",769,863,1014,1142,1217
"R,S,T,U","Jasa lainnya/Other Services Activities",387,424,479,514,540
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",22129,25194,28493,31702,34548
