"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",5558,6273,6834,7291,7850
"B","Pertambangan dan Penggalian/Mining and Quarrying",12262,12084,12255,12748,12893
"C","Industri Pengolahan/Manufacturing",16050,17550,18062,17594,18619
"D","Pengadaan Listrik dan Gas/Electricity and Gas",14,18,24,26,31
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",54,59,66,70,76
"F","Konstruksi/Construction",6282,7461,8770,9906,11226
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",2880,3365,3862,4382,4945
"H","Transportasi dan Pergudangan/Transportation and Storage",1172,1420,1664,1884,2125
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",287,327,373,412,463
"J","Informasi dan Komunikasi/Information and Communication",744,852,932,1052,1177
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",761,877,998,1049,1128
"L","Real Estat/Real Estate Activities",551,648,732,821,918
"M,N","Jasa Perusahaan/Business Activities",54,61,68,76,84
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4634,5227,6106,7004,7713
"P","Jasa Pendidikan/Education",1170,1389,1505,1602,1755
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",384,417,465,523,575
"R,S,T,U","Jasa lainnya/Other Services Activities",141,151,172,191,211
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",52998,58181,62888,66631,71789
