"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",5520,6196,6617,7276,7728
"B","Pertambangan dan Penggalian/Mining and Quarrying",2563,2249,2336,2446,2963
"C","Industri Pengolahan/Manufacturing",1089,1256,1358,1570,2076
"D","Pengadaan Listrik dan Gas/Electricity and Gas",10,13,18,27,32
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",17,20,22,24,26
"F","Konstruksi/Construction",1278,1483,1757,1925,2138
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",3387,3981,4629,5147,5621
"H","Transportasi dan Pergudangan/Transportation and Storage",1201,1438,1632,1811,2019
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",93,109,116,133,149
"J","Informasi dan Komunikasi/Information and Communication",759,895,990,1083,1179
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",631,692,794,921,1011
"L","Real Estat/Real Estate Activities",24,26,29,33,37
"M,N","Jasa Perusahaan/Business Activities",68,76,84,94,102
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",3510,4119,4553,4760,5103
"P","Jasa Pendidikan/Education",706,802,933,1068,1178
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",426,508,563,610,663
"R,S,T,U","Jasa lainnya/Other Services Activities",158,178,207,230,247
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",21439,24042,26638,29157,32273
