"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",10676,12301,13851,14921,16455
"B","Pertambangan dan Penggalian/Mining and Quarrying",519,606,730,832,896
"C","Industri Pengolahan/Manufacturing",2065,3055,3403,3426,3992
"D","Pengadaan Listrik dan Gas/Electricity and Gas",10,12,10,13,15
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",43,46,50,54,58
"F","Konstruksi/Construction",1987,2285,2582,2934,3236
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",2678,3092,3441,3760,4106
"H","Transportasi dan Pergudangan/Transportation and Storage",390,451,512,535,556
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",62,70,76,85,91
"J","Informasi dan Komunikasi/Information and Communication",999,1138,1263,1395,1569
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",553,601,660,780,880
"L","Real Estat/Real Estate Activities",759,823,903,990,1056
"M,N","Jasa Perusahaan/Business Activities",20,22,24,26,27
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",2181,2444,2738,3084,3189
"P","Jasa Pendidikan/Education",1336,1438,1542,1761,1994
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",519,564,630,722,781
"R,S,T,U","Jasa lainnya/Other Services Activities",452,511,572,640,716
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",25249,29458,32988,35959,39618
