"Kode Industri","Nama Industri","2013","2014","2015","2016","2017"
"A","Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",20452,22912,25844,28546,30902
"B","Pertambangan dan Penggalian/Mining and Quarrying",1758,1956,1952,2096,2109
"C","Industri Pengolahan/Manufacturing",8656,9984,11524,12413,13024
"D","Pengadaan Listrik dan Gas/Electricity and Gas",175,241,327,419,518
"E","Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",263,287,326,358,388
"F","Konstruksi/Construction",13259,14114,15629,17219,19016
"G","Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;",11173,12927,14714,16209,18543
"H","Transportasi dan Pergudangan/Transportation and Storage",11311,14203,16384,18616,20360
"I","Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities",28936,36132,40593,44285,50241
"J","Informasi dan Komunikasi/Information and Communication",7312,8035,9118,10045,11059
"K","Jasa Keuangan dan Asuransi/Financial and Insurance Activities",5781,6558,7263,8048,8563
"L","Real Estat/Real Estate Activities",5967,6813,7393,7857,8396
"M,N","Jasa Perusahaan/Business Activities",1344,1534,1800,2044,2279
"O","Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",6846,7828,8738,9567,10928
"P","Jasa Pendidikan/Education",6484,7465,8555,9827,11055
"Q","Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities",2674,3090,3617,4094,4633
"R,S,T,U","Jasa lainnya/Other Services Activities",2017,2315,2637,2975,3347
"X","PRODUK DOMESTIK REGIONAL BRUTO/Gross Regional Domestic Product",134408,156396,176413,194618,215361
